epoch,train_loss,train_acc,test_loss,test_acc
1,0.2895983921665719,89.84593837535014,0.1404765156188571,95.19450800915332
2,0.12444710823337875,95.83333333333333,0.16795829471865123,93.97406559877956
3,0.09212458835051046,96.8312324929972,0.06919716467950265,97.55911517925247
4,0.05507561170584496,98.35434173669468,0.09489426351816602,96.5675057208238
5,0.05302673429393798,98.17927170868347,0.03687776343062202,99.2372234935164
6,0.04256974627243032,98.59943977591037,0.04694084728437635,98.39816933638444
7,0.03586050427542198,98.8970588235294,0.031183390139187573,99.31350114416476
8,0.04026300175923219,98.82703081232494,0.09600127479962993,96.72006102212052
9,0.03378252538022528,98.8970588235294,0.019235611744256968,99.6186117467582
10,0.026058867414723873,99.24719887955182,0.021206612858627412,99.31350114416476
11,0.029866560582427943,99.01960784313725,0.024505414222381304,99.38977879481313
12,0.025424894013418686,99.19467787114846,0.028974742551615303,99.2372234935164
13,0.019702205594431338,99.45728291316527,0.05513218054001322,98.4744469870328
14,0.011846969067379209,99.68487394957984,0.02864673403191995,99.38977879481313
15,0.007314826396466936,99.85994397759103,0.025463810489893105,99.38977879481313
16,0.007213572872504748,99.87745098039215,0.030363363881628087,99.38977879481313
17,0.007655536567313628,99.71988795518207,0.027189284434670544,99.38977879481313
18,0.0072760695218259475,99.84243697478992,0.027613348037869776,99.38977879481313
19,0.006387931900960654,99.89495798319328,0.028012867114739493,99.31350114416476
20,0.006262372129345729,99.9124649859944,0.02550391664301903,99.38977879481313
21,0.006003978141575698,99.89495798319328,0.024248233836438086,99.38977879481313
22,0.005285239451813288,99.89495798319328,0.025667638996620976,99.38977879481313
23,0.006573321142571448,99.9124649859944,0.026290831751816214,99.38977879481313
24,0.00713399666483129,99.84243697478992,0.025595645449889494,99.38977879481313
25,0.006128823878350876,99.84243697478992,0.027449033430901004,99.31350114416476
26,0.00697372451245098,99.8249299719888,0.025421217549503525,99.38977879481313
27,0.006846131056377419,99.78991596638656,0.02353593873322541,99.38977879481313
28,0.007231339617494452,99.75490196078431,0.027759582983513033,99.31350114416476
29,0.006298793122749879,99.87745098039215,0.02517450289655599,99.38977879481313
30,0.006009993550589428,99.8249299719888,0.025435860257857712,99.38977879481313
